Instance,Best dual bound,Best primal bound,Gap (%)
2-90-180-20-3,44275723,46005327,3.759573320715659
2-90-180-30-1,44394769,44954821,1.2458107663247064
2-90-180-30-2,63345004,65896257,3.8716205079751376
2-90-180-30-3,56473179,58453590,3.3880057666261343
2-90-180-40-1,39845654,40271798,1.0581697891909325
2-90-180-40-2,40823016,43706490,6.597358881941783
2-90-180-40-3,45885290,48755625,5.887187375815605
2-90-180-50-1,29073131,29929650,2.8617741938178343
2-90-180-50-2,30761093,32656903,5.805235113690966
2-90-180-50-3,46670785,48594471,3.958652003846286
2-120-60-10-1,30958931,32746525,5.458881514908831
2-120-60-10-2,27181547,29340801,7.359219675018414
2-120-60-10-3,24918285,26506208,5.990758844116817
2-120-60-20-1,35057903,36057979,2.773522054577715
2-120-60-20-2,22009007,24164626,8.920556022675463
2-120-60-20-3,27135432,28528101,4.881744494665108
2-120-60-30-1,21386352,23305376,8.234254620049896
2-120-60-30-2,27102910,28108467,3.5774167264262413
2-120-60-30-3,20806152,23514272,11.51692044729261
2-120-60-40-1,14477639,15594365,7.161086713053077
2-120-60-40-2,33872558,36014948,5.948613336884456
2-120-60-40-3,26080020,28165938,7.405817622690214
2-120-60-50-1,15236764,17211367,11.472668033863897
2-120-60-50-2,23173538,24439040,5.178198488975017
2-120-60-50-3,15373651,15969309,3.7300173726990904
2-120-90-10-1,24739595,27497015,10.028070319632876
2-120-90-10-2,27672006,29459638,6.068071847997592
2-120-90-10-3,48641815,53961272,9.857916247786003
2-120-90-20-1,39678095,40231722,1.376095708754399
2-120-90-20-2,32393842,33218082,2.481299191205566
2-120-90-20-3,32157552,34114626,5.736759359460663
2-120-90-30-1,29689844,31446410,5.585903128528824
2-120-90-30-2,23811456,26472833,10.05323835193611
2-120-90-30-3,30005989,32911881,8.82930999902436
2-120-90-40-1,54008442,55505589,2.697290537715036
2-120-90-40-2,28144791,31357340,10.244966569230684
2-120-90-40-3,28368394,36977052,23.281082548170684
2-120-90-50-1,34275131,35449789,3.3135824870495045
2-120-90-50-2,37786464,39118031,3.4039724545440464
2-120-90-50-3,34185999,38061233,10.181577669856356
2-120-120-10-1,75049691,75962541,1.2017107221307888
2-120-120-10-2,51369030,57727153,11.014094181987467
2-120-120-10-3,47227231,49848881,5.259195286650464
2-120-120-20-1,36349632,37719006,3.630461523827011
2-120-120-20-2,68381247,71714693,4.648205075632128
2-120-120-20-3,41769193,47438769,11.951355651745521
2-120-120-30-1,70074517,73498552,4.6586427988404395
2-120-120-30-2,46441582,48279209,3.8062491868911974
2-120-120-30-3,37958450,41130606,7.712397916043345
2-120-120-40-1,29282772,31004290,5.552515474471431
2-120-120-40-2,21428196,23224001,7.73253928123755
2-120-120-40-3,37509758,40860735,8.200970932118567
2-120-120-50-1,54578204,56255643,2.981814642132874
2-120-120-50-2,64111093,68566592,6.498061038238568
2-120-120-50-3,52973927,57511493,7.889842122512802
2-120-150-10-1,43620470,45500490,4.131867590876492
2-120-150-10-2,68960154,75908546,9.153636008256571
2-120-150-10-3,53496967,57263287,6.577198406371609
2-120-150-20-1,57658078,60768178,5.117974740002906
2-120-150-20-2,78693932,80501960,2.2459428317024854
2-120-150-20-3,67392673,74146768,9.109088881662386
2-120-150-30-1,41901730,42575892,1.5834359970661294
2-120-150-30-2,86353891,93027138,7.173441152193671
2-120-150-30-3,52603188,58820255,10.569602256909628
2-120-150-40-1,53546213,54564244,1.8657474664177554
2-120-150-40-2,78637315,88566789,11.211283723970167
2-120-150-40-3,97345968,104539697,6.8813371441090005
2-120-150-50-1,59779482,61730297,3.160222929107237
2-120-150-50-2,109912285,117707008,6.622140119303688
2-120-150-50-3,58131345,63267212,8.117738774390759
2-120-180-10-1,64040644,65274336,1.890010799956665
2-120-180-10-2,74941824,81145878,7.645556561727018
2-120-180-10-3,66533035,70769856,5.98675939089095
2-120-180-20-1,62202790,63490011,2.0274386155012647
2-120-180-20-2,55332046,60138425,7.992193011373338
2-120-180-20-3,83312005,86794652,4.012513351629088
2-120-180-30-1,66508157,68690452,3.1769990391095404
2-120-180-30-2,67306353,69964353,3.7990775102286767
2-120-180-30-3,73403947,76762721,4.375527542855084
2-120-180-40-1,61700045,62915571,1.9319954991745991
2-120-180-40-2,65364098,67707504,3.4610727933494623
2-120-180-40-3,62910811,68799585,8.55931616447977
2-120-180-50-1,145263553,146665979,0.9562040287475204
2-120-180-50-2,57295455,64144691,10.677790933625353
2-120-180-50-3,53903770,62660575,13.974983472462554
2-150-60-10-1,29049721,30468458,4.65641221488794
2-150-60-10-2,43554146,44201081,1.4636180504273177
2-150-60-10-3,37984112,41981121,9.52096777025082
2-150-60-20-1,32113850,33956154,5.425537886298903
2-150-60-20-2,37582463,44365081,15.288190277394065
2-150-60-20-3,21569360,22049448,2.177324348437204
2-150-60-30-1,23435285,28389808,17.451766493102028
2-150-60-30-2,38299669,41462380,7.627905103373223
2-150-60-30-3,24675738,26153915,5.6518383576607985
2-150-60-40-1,40479562,43378648,6.683209674953449
2-150-60-40-2,20975221,24095597,12.949984181757356
2-150-60-40-3,28740619,29431256,2.346610691708162
2-150-60-50-1,31367755,31918533,1.7255742925277873
2-150-60-50-2,27554653,29131336,5.412326437757608
2-150-60-50-3,26455113,34410825,23.11979442515546
2-150-90-10-1,45312391,49963242,9.308545270140801
2-150-90-10-2,45815162,48157275,4.863466630950364
2-150-90-10-3,62682201,67503800,7.142707521650637
2-150-90-20-1,33253065,35371331,5.988652222332258
2-150-90-20-2,47034556,51417508,8.524240420208617
2-150-90-20-3,57256297,62867019,8.924746376156312
2-150-90-30-1,41425971,44351611,6.596468389840449
2-150-90-30-2,48041953,55858563,13.99357516590608
2-150-90-30-3,48143031,50869861,5.360403874506359
2-150-90-40-1,25833253,27968612,7.634840799393261
